[Thu Jul 24 15:00:02 2014] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Notice\\Controller\\NoticeController' not found in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\vendor\\zendframework\\zendframework\\library\\Zend\\ServiceManager\\AbstractPluginManager.php on line 170
[Thu Jul 24 15:28:43 2014] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Notice\\Controller\\NoticeController' not found in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\vendor\\zendframework\\zendframework\\library\\Zend\\ServiceManager\\AbstractPluginManager.php on line 170
[Thu Jul 24 15:33:59 2014] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Notice\\Controller\\NoticeController' not found in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\vendor\\zendframework\\zendframework\\library\\Zend\\ServiceManager\\AbstractPluginManager.php on line 170
[Thu Jul 24 15:37:05 2014] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Notice\\Controller\\NoticeController' not found in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\vendor\\zendframework\\zendframework\\library\\Zend\\ServiceManager\\AbstractPluginManager.php on line 170
[Thu Jul 24 15:39:57 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$artist in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\index.phtml on line 20
[Thu Jul 24 15:39:57 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$artist in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\index.phtml on line 20
[Thu Jul 24 15:39:57 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$artist in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\index.phtml on line 20
[Thu Jul 24 15:39:57 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$artist in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\index.phtml on line 20
[Thu Jul 24 15:39:57 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$artist in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\index.phtml on line 20
[Thu Jul 24 15:39:57 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$artist in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\index.phtml on line 20
[Thu Jul 24 15:39:57 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$artist in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\index.phtml on line 20
[Thu Jul 24 15:52:45 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$inputFilter in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\src\\Notice\\Model\\Notice.php on line 36, referer: http://noticesystem.localhost/notice
[Thu Jul 24 15:53:08 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined property: Notice\\Model\\Notice::$inputFilter in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\src\\Notice\\Model\\Notice.php on line 36, referer: http://noticesystem.localhost/notice
[Thu Jul 24 15:55:34 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:08:46 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:09:01 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:10:39 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:10:51 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:18:41 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:30:12 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:31:14 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:35:49 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: form in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 16:35:49 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 17:02:51 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 17:03:47 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 17:04:24 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 17:08:42 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined method Zend\\Form\\View\\Helper\\Form::setAttribute() in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 9, referer: http://noticesystem.localhost/notice
[Thu Jul 24 17:11:07 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 10, referer: http://noticesystem.localhost/notice
[Thu Jul 24 17:11:46 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 10, referer: http://noticesystem.localhost/notice
[Thu Jul 24 17:14:43 2014] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function setAttribute() on a non-object in C:\\Program Files\\Apache Software Foundation\\Apache2.2\\htdocs\\NoticeSystem\\module\\Notice\\view\\notice\\notice\\add.phtml on line 10, referer: http://noticesystem.localhost/notice
